"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1946721616714772727","Sat Jul 19 23:59:36 +0000 2025","0","Sedih liat Tom Lembong insyaallah rakyat bisa menilai kebenaran","1946721616714772727","","","in","","0","0","0","https://x.com/undefined/status/1946721616714772727","581724131",
"1946577900846596126","Sat Jul 19 23:58:52 +0000 2025","2","@PartaiSocmed @rumiizahraa Nah dgn kasus tom lembong dia tak perkaya dirinya dia hanya laksankn instruksi pimpinannya ok lah tom salah lha yg untung kok ta masuk pnjara yg nyuruh kok ga kena itu inti dr merugikn negara napa bosnya tom lenggang kangkung sj hkum sdh jd alat politik","1946721433826254987","","PartaiSocmed","in","","0","0","0","https://x.com/undefined/status/1946721433826254987","1053677545353170944",
"1946721418844250363","Sat Jul 19 23:58:49 +0000 2025","0","Tom lembong masuk penjara 4 5 tahun vonis ini kl msh ada almarhum bapak gie pasti dia pantengin mulu tuh berita sambil misuhin mulyono dkk","1946721418844250363","","","in","","0","0","0","https://x.com/undefined/status/1946721418844250363","1037185365231247361",
"1946721416663248946","Sat Jul 19 23:58:48 +0000 2025","0","Akademisi berbicara soal keputusan hakim untuk Tom Lembong https://t.co/7bjYLw6mQN","1946721416663248946","https://pbs.twimg.com/amplify_video_thumb/1946721022914560000/img/aH5yhlC8vGAhhifR.jpg","","in","","0","1","0","https://x.com/undefined/status/1946721416663248946","553666338",
"1946721288330096828","Sat Jul 19 23:58:18 +0000 2025","1","Nyimak!! Tom lembong dan hasto korban politik busuk politik kotor jokowi. https://t.co/xg72r9Gboi","1946721288330096828","","","in","","0","1","1","https://x.com/undefined/status/1946721288330096828","3032152165",
"1942842759586685107","Sat Jul 19 23:58:17 +0000 2025","0","@realmindividual @DianSandiU Lu udah tanyain belum ke buzzer2 ternakan abah... ketauan ente simpatisan gerombolan tom lembong pertanyaan lu lebih cocok untuk mereka dan mereka https://t.co/LzpiAH1U8G","1946721284106403890","https://pbs.twimg.com/media/GwQksNGWMAAeudf.jpg","realmindividual","in","","0","2","0","https://x.com/undefined/status/1946721284106403890","1916760869939400704",
"1946721236589146141","Sat Jul 19 23:58:05 +0000 2025","1","https://t.co/GWBIR6m77a https://t.co/PXRJM9yM90 https://t.co/G36xel9e0E https://t.co/klLlTqZT90 https://t.co/s5upJk7168 https://t.co/xjfpR5xvvi pagiii tidur pocary bintang area 1 alfamart halu turut tom lembong https://t.co/dXBlLp0i9k","1946721236589146141","https://pbs.twimg.com/media/GwQkogQWAAAAQq7.jpg","","in","","0","0","0","https://x.com/undefined/status/1946721236589146141","1601051167",
"1946706981122937253","Sat Jul 19 23:56:10 +0000 2025","0","@grok nah itu yang jadi pertanyaan. Semua mendag jokowi itu impor gula knp hanya Tom Lembong yang ditangkap grok?","1946720754659430806","","grok","in","","0","1","0","https://x.com/undefined/status/1946720754659430806","1879509896393302016",
"1946720337670054370","Sat Jul 19 23:54:31 +0000 2025","0","Tom Lembong siapa sih? Saya taunya Tom De Long.","1946720337670054370","","","in","","0","0","0","https://x.com/undefined/status/1946720337670054370","429739979",
"1946720094018789651","Sat Jul 19 23:53:33 +0000 2025","8","Pengadaan laptop Chromebook diduga merupakan proyek yg digagas dg tujuan agar Nadiem Makarim ditunjuk Jokowi sbg Mendikbudristek. Utk itu Direktur Gerakan Perubahan Muslim Arbi meminta Kejagung memeriksa Jokowi. Emang Kejagung berani ? ---- Tom Lembong Tidur Erika Carlina https://t.co/U7eH8yGiOg","1946720094018789651","https://pbs.twimg.com/media/GwQjme4a8AACYI0.jpg","","in","","0","1","4","https://x.com/undefined/status/1946720094018789651","1259753320152887296",
"1946577900846596126","Sat Jul 19 23:53:01 +0000 2025","0","@PartaiSocmed Tom Lembong koruptor tum ?","1946719962271564182","","PartaiSocmed","in","","0","0","0","https://x.com/undefined/status/1946719962271564182","1697558608400257024",
"1946719347881427399","Sat Jul 19 23:50:35 +0000 2025","0","keluar barengan putusan nya tom lembong. kerjaan si botak kan emang gini ngalihin isu. kontol","1946719347881427399","","","in","","0","0","0","https://x.com/undefined/status/1946719347881427399","446186741",
"1946718655561310422","Sat Jul 19 23:47:50 +0000 2025","28","Tom Lembong Divonis Bersalah dalam Kasus Importasi Gula DPR Soroti Aroma 'Tebang Pilih' https://t.co/B0gFcA9EPK","1946718655561310422","","","in","","1","1","29","https://x.com/undefined/status/1946718655561310422","887743587579944960",
"1946213714451169789","Sat Jul 19 23:47:50 +0000 2025","0","@Hilmi28 Tom Lembong salah masuk circle di pilpres 2024 makanya masuk kerangkeng kang ojek online aman lah kan satu circle dulunya","1946718655523491877","","Hilmi28","in","","0","0","0","https://x.com/undefined/status/1946718655523491877","1605859899183099904",
"1946718564041588752","Sat Jul 19 23:47:28 +0000 2025","1","Tom Lembong di penjara akan nyusul kasus lainya yg bakal menjerat sirkelan mereka","1946718564041588752","","","in","","0","0","0","https://x.com/undefined/status/1946718564041588752","1709123175450288128",
"1946544123781259728","Sat Jul 19 23:46:28 +0000 2025","2","@DaminDamiin @DarsAlexandra1 Tom Lembong mah terlihat ikhlas gk ada rasa takut krn dia emg gak bersalah tp bagi yg berakla sehat pasti akan mikir dan tidak terima dg keputusan yg jelas² salah. Tggu aja nanti di keadilan akhirat tdk akan ada yg lepas dr tanggung jawab atas perbuatannya yg dzolim!!!","1946718313008206033","","DaminDamiin","in","","0","0","0","https://x.com/undefined/status/1946718313008206033","1725373987277127680",
